Ev,S11,E33,E11,S33
0,0,0,0,0
-0.0000000297,0.011126154,0,-0.0000000297,0
-0.00000847,0.017703551,-0.000000573,-0.00000732,0
-0.00000771,0.016429899,-0.000000193,-0.00000732,0
-0.0000066,0.031370735,0.00000038,-0.00000736,0
-0.00000745,0.066130554,0,-0.00000745,0
-0.00000584,0.030207926,0.000000759,-0.00000736,0
-0.00000448,0.093889472,0.00000153,-0.00000753,0
-0.00000485,0.088487431,0.00000133,-0.00000751,0
-0.00000483,0.081805465,0.00000133,-0.0000075,0
-0.00000667,0.057966843,0.00000038,-0.00000743,0
-0.00000633,0.072587697,0.000000573,-0.00000747,0
-0.00000642,0.107665407,0.000000573,-0.00000757,0
-0.00000647,0.126850702,0.000000573,-0.00000762,0
-0.00000762,0.128760134,0,-0.00000762,0
-0.0000084,0.135535167,-0.00000038,-0.00000764,0
-0.00000728,0.144331521,0.000000193,-0.00000766,0
-0.00000605,0.110844308,0.000000759,-0.00000757,0
-0.00000534,0.133838011,0.00000115,-0.00000764,0
-0.00000582,0.166269076,0.000000953,-0.00000772,0
-0.00000587,0.184811272,0.000000953,-0.00000777,0
-0.00000396,0.185872648,0.00000191,-0.00000777,0
-0.00000595,0.215657069,0.000000953,-0.00000785,0
-0.00000558,0.222007552,0.00000115,-0.00000787,0
-0.00000603,0.247122962,0.000000953,-0.00000794,0
-0.00000527,0.245637035,0.00000133,-0.00000793,0
-0.00000528,0.250199385,0.00000133,-0.00000795,0
-0.00000454,0.257823519,0.00000171,-0.00000797,0
-0.00000459,0.274568172,0.00000171,-0.00000801,0
-0.00000543,0.30465898,0.00000133,-0.00000809,0
-0.00000386,0.29119989,0.0000021,-0.00000806,0
-0.00000401,0.348858254,0.0000021,-0.00000821,0
-0.00000439,0.344612748,0.00000191,-0.0000082,0
-0.00000453,0.397918946,0.00000191,-0.00000834,0
-0.00000637,0.374593759,0.000000953,-0.00000828,0
-0.00000444,0.364635642,0.00000191,-0.00000825,0
-0.00000414,0.398127038,0.0000021,-0.00000834,0
-0.00000615,0.436056348,0.00000115,-0.00000844,0
-0.0000039,0.447192959,0.00000228,-0.00000847,0
-0.00000497,0.419110923,0.00000171,-0.0000084,0
0.000000358,0.434580878,0.000000759,-0.00000116,0
0.00000191,0.426098231,0.00000153,-0.00000114,0
0.00000222,0.450897842,0.00000171,-0.0000012,0
0.00000247,0.500489745,0.00000191,-0.00000134,0
0.00000167,0.515859314,0.00000153,-0.00000138,0
0.00000354,0.529528589,0.00000248,-0.00000141,0
0.00000308,0.5583447,0.00000228,-0.00000149,0
0.00000271,0.557075231,0.0000021,-0.00000149,0
0.00000122,0.540338944,0.00000133,-0.00000144,0
0.00000158,0.549341299,0.00000153,-0.00000147,0
0.0000119,0.548598858,0.00000304,0.0000058,0
0.00000961,0.548068693,0.00000191,0.0000058,0
0.0000096,0.552948933,0.00000191,0.00000579,0
0.00000914,0.580606419,0.00000171,0.00000572,0
0.00000874,0.589190497,0.00000153,0.00000569,0
0.00000872,0.597344797,0.00000153,0.00000567,0
0.00000864,0.627546449,0.00000153,0.00000559,0
0.0000104,0.673540129,0.00000248,0.00000547,0
0.0000177,0.66580306,0.00000248,0.0000128,0
0.0000158,0.655625348,0.00000153,0.0000128,0
0.0000153,0.705855122,0.00000133,0.0000127,0
0.0000157,0.715076027,0.00000153,0.0000126,0
0.0000161,0.715813239,0.00000171,0.0000126,0
0.0000157,0.725999317,0.00000153,0.0000126,0
0.000016,0.736166572,0.00000171,0.0000126,0
0.0000148,0.770925346,0.00000115,0.0000125,0
0.0000228,0.778548434,0.00000153,0.0000197,0
0.0000221,0.75004603,0.00000115,0.0000198,0
0.0000232,0.744960834,0.00000171,0.0000198,0
0.000022,0.786922329,0.00000115,0.0000197,0
0.0000213,0.778018269,0.000000759,0.0000197,0
0.0000212,0.798264941,0.000000759,0.0000197,0
0.0000222,0.835457038,0.00000133,0.0000196,0
0.0000303,0.842876217,0.00000171,0.0000268,0
0.0000283,0.855062701,0.000000759,0.0000268,0
0.0000275,0.868416178,0.00000038,0.0000268,0
0.0000282,0.895753681,0.000000759,0.0000267,0
0.0000266,0.920336835,0,0.0000266,0
0.0000273,0.941109489,0.00000038,0.0000266,0
0.0000269,0.973318868,0.000000193,0.0000265,0
0.0000333,0.981692763,-0.000000193,0.0000337,0
0.0000345,0.990702438,0.00000038,0.0000337,0
0.0000348,0.99695358,0.000000573,0.0000337,0
0.0000349,0.96251165,0.000000573,0.0000338,0
0.0000333,0.983069938,-0.000000193,0.0000337,0
0.0000428,1.021003431,0.000000953,0.0000409,0
0.0000417,1.013801756,0.00000038,0.0000409,0
0.0000403,1.087876425,-0.000000193,0.0000407,0
0.0000413,1.029491306,0.000000193,0.0000409,0
0.0000408,1.063822392,0,0.0000408,0
0.00004,1.089786903,-0.00000038,0.0000407,0
0.0000472,1.089997087,-0.00000038,0.000048,0
0.0000467,1.142550387,-0.000000573,0.0000479,0
0.0000475,1.146050316,-0.000000193,0.0000478,0
0.0000463,1.150607438,-0.000000759,0.0000478,0
0.0000451,1.167875981,-0.00000133,0.0000478,0
0.0000512,1.189179847,-0.00000191,0.000055,0
0.0000508,1.202847031,-0.00000209,0.000055,0
0.0000515,1.210689714,-0.00000171,0.0000549,0
0.0000499,1.256152183,-0.00000248,0.0000548,0
0.0000502,1.271097201,-0.00000228,0.0000548,0
0.0000587,1.25042807,-0.00000171,0.0000621,0
0.0000582,1.29122571,-0.00000191,0.000062,0
0.0000593,1.318462827,-0.00000133,0.0000619,0
0.0000577,1.346541726,-0.00000209,0.0000619,0
0.0000636,1.400903026,-0.00000266,0.000069,0
0.000064,1.390731589,-0.00000248,0.000069,0
0.0000632,1.419455679,-0.00000286,0.0000689,0
0.0000651,1.417333972,-0.00000191,0.0000689,0
0.0000723,1.449542305,-0.00000191,0.0000761,0
0.0000715,1.478155552,-0.00000228,0.000076,0
0.0000701,1.481750638,-0.00000295,0.000076,0
0.0000702,1.527534134,-0.00000286,0.0000759,0
0.0000761,1.604045264,-0.00000343,0.000083,0
0.0000766,1.585608683,-0.00000324,0.000083,0
0.0000784,1.595354525,-0.00000228,0.000083,0
0.0000845,1.618241567,-0.00000286,0.0000902,0
0.0000841,1.616761914,-0.00000304,0.0000902,0
0.0000847,1.674195455,-0.00000266,0.0000901,0
0.0000835,1.721462786,-0.00000324,0.0000899,0
0.000092,1.673877565,-0.00000266,0.0000973,0
0.0000912,1.709482303,-0.00000304,0.0000972,0
0.0000914,1.747320637,-0.00000286,0.0000971,0
0.0000979,1.756747543,-0.00000324,0.000104382,0
0.0000986,1.793519272,-0.00000286,0.000104284,0
0.0000975,1.778256364,-0.00000343,0.000104325,0
0.0000966,1.805278069,-0.00000381,0.000104253,0
0.000103475,1.828593845,-0.000004,0.000111468,0
0.00010377,1.857837644,-0.00000381,0.00011139,0
0.00010479,1.904781857,-0.00000324,0.000111264,0
0.000110456,1.935618243,-0.000004,0.00011845,0
0.000110033,1.949501885,-0.00000419,0.000118413,0
0.000108447,1.974723955,-0.00000495,0.000118345,0
0.000115596,2.01901525,-0.00000495,0.000125495,0
0.000115484,2.061086542,-0.00000495,0.000125382,0
0.000116166,2.090013496,-0.00000457,0.000125305,0
0.000123317,2.137273508,-0.00000457,0.000132456,0
0.000122247,2.108986517,-0.00000514,0.000132532,0
0.000120617,2.15062803,-0.0000059,0.000132421,0
0.000128997,2.163235928,-0.00000533,0.000139655,0
0.000127796,2.184115243,-0.0000059,0.000139599,0
0.000127752,2.200429071,-0.0000059,0.000139555,0
0.000135716,2.227878464,-0.00000552,0.00014676,0
0.000135281,2.246007611,-0.00000572,0.000146711,0
0.000134473,2.264013367,-0.00000609,0.000146663,0
0.000143924,2.304496254,-0.00000495,0.000153823,0
0.000142228,2.366169027,-0.00000572,0.000153658,0
0.000149101,2.374221895,-0.0000059,0.000160904,0
0.000148642,2.401246737,-0.00000609,0.000160832,0
0.000148993,2.414387938,-0.0000059,0.000160797,0
0.000155039,2.446703977,-0.00000647,0.000167988,0
0.000156825,2.491106115,-0.00000552,0.000167869,0
0.000154455,2.525763457,-0.00000666,0.000167777,0
0.000160948,2.526500669,-0.00000705,0.000175043,0
0.000160114,2.554365201,-0.00000743,0.000174968,0
0.000166972,2.566869576,-0.00000762,0.000182212,0
0.000166856,2.610215566,-0.00000762,0.000182096,0
0.000165711,2.614872028,-0.00000819,0.000182084,0
0.000174315,2.683121153,-0.00000743,0.000189169,0
0.00017309,2.713106346,-0.000008,0.000189089,0
0.000179185,2.726777713,-0.00000857,0.00019633,0
0.000176819,2.759519348,-0.00000971,0.000196243,0
0.000178958,2.81187083,-0.00000857,0.000196103,0
0.000183841,2.851824598,-0.00000971,0.000203264,0
0.000184525,2.879690176,-0.00000933,0.00020319,0
0.000191307,2.921866037,-0.00000952,0.000210345,0
0.000189675,2.959485822,-0.0000103,0.000210244,0
0.000191555,2.969020434,-0.00000933,0.000210219,0
0.000197562,3.015649894,-0.0000099,0.000217372,0
0.000197846,3.05390023,-0.00000971,0.00021727,0
0.000205117,3.052626579,-0.00000971,0.000224541,0
0.000203921,3.071386278,-0.0000103,0.000224491,0
0.000202988,3.136551659,-0.0000107,0.000224316,0
0.000209086,3.149380198,-0.0000112,0.00023156,0
0.000209315,3.208080071,-0.000011,0.000231403,0
0.000216203,3.205548453,-0.0000112,0.000238677,0
0.000216593,3.20427271,-0.000011,0.000238681,0
0.000215237,3.282900319,-0.0000116,0.000238471,0
0.000223692,3.271031724,-0.000011,0.00024578,0
0.000219869,3.276012351,-0.0000129,0.000245767,0
0.000226884,3.370536557,-0.0000129,0.000252782,0
0.000227512,3.419598295,-0.0000126,0.000252651,0
0.00022627,3.455626538,-0.0000131,0.000252555,0
0.000233432,3.4951568,-0.0000131,0.000259717,0
0.000231146,3.498441316,-0.0000143,0.000259708,0
0.000237923,3.54114316,-0.0000145,0.000266872,0
0.000239016,3.560749869,-0.0000139,0.000266819,0
0.000245061,3.589782438,-0.0000145,0.000274009,0
0.000244179,3.635456137,-0.0000149,0.000273887,0
0.000243991,3.705927355,-0.0000149,0.000273699,0
0.000251281,3.701369187,-0.0000149,0.000280989,0
0.000251732,3.677207447,-0.0000147,0.000281053,0
0.000257327,3.729874728,-0.0000154,0.00028818,0
0.000256581,3.724681826,-0.0000158,0.000288194,0
0.000264075,3.784659533,-0.0000156,0.000295302,0
0.000264352,3.820688822,-0.0000154,0.000295206,0
0.00027151,3.865188209,-0.0000154,0.000302364,0
0.000270683,3.890734444,-0.0000158,0.000302296,0
0.000270199,3.932380139,-0.000016,0.000302185,0
0.000276638,3.953252135,-0.0000164,0.000309397,0
0.000276158,3.993098196,-0.0000166,0.00030929,0
0.000284911,4.009634756,-0.0000158,0.000316524,0
0.000282919,4.041846226,-0.0000168,0.000316438,0
0.000290015,4.106378965,-0.0000168,0.000323533,0
0.000289141,4.149188515,-0.0000171,0.000323419,0
0.000296047,4.143786474,-0.0000173,0.000330711,0
0.000294454,4.171439777,-0.0000181,0.000330637,0
0.000295094,4.216269602,-0.0000177,0.000330517,0
0.000300362,4.256531849,-0.0000187,0.000337677,0
0.00030098,4.304433915,-0.0000183,0.000337549,0
0.000308998,4.312917607,-0.0000179,0.000344794,0
0.000308127,4.34979286,-0.0000183,0.000344696,0
0.000315342,4.373209022,-0.0000183,0.000351911,0
0.000314839,4.421953915,-0.0000185,0.000351781,0
0.000318651,4.433825647,-0.0000202,0.000359017,0
0.000320471,4.465613612,-0.0000192,0.000358932,0
0.000318431,4.516265846,-0.0000202,0.000358796,0
0.000324774,4.576560398,-0.0000206,0.000365913,0
0.000324265,4.627534704,-0.0000208,0.000365777,0
0.000330699,4.655399236,-0.0000211,0.00037297,0
0.000331768,4.679039176,-0.0000206,0.000372907,0
0.00033709,4.698106309,-0.0000215,0.000380133,0
0.000338204,4.709974903,-0.0000209,0.000380102,0
0.000343874,4.739542866,-0.0000217,0.00038729,0
0.000343338,4.795702755,-0.0000219,0.00038714,0
0.000343251,4.828129638,-0.0000219,0.000387054,0
0.000349669,4.861828081,-0.0000223,0.000394231,0
0.000348052,4.898914564,-0.000023,0.000394132,0
0.000354087,4.934943852,-0.0000236,0.000401314,0
0.000353581,4.984750122,-0.0000238,0.000401181,0
0.00035956,5.038370027,-0.0000244,0.000408305,0
